Food items,Units,Units,Remarks,Source,,,,,,,,,
"Rice, flakes",1cup,55g,,ASC manual,,,,,,,,,
Buckwheat,1cup,170g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170286/measures,,,,,,,,,
Rice flour,1cup,120g,,same as flour,,,,,,,,,
Flour,1cup,120g,,BFP manual,,,,,,,,,
Wheat flour,1cup,130g,,BFP manual,,,,,,,,,
Semolina,1cup,167g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168933/measures,,,,,,,,,
Vermicelli,1cup,176g,used weight for cooked rice noodles,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168914/measures,,,,,,,,,
Chickpea flour (besan),1cup,92g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174288/measures,,,,,,,,,
"Corn flour, whole-grain, yellow",1cup,117g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170290/measures,,,,,,,,,
"Corn, sweet, yellow, raw",1cup,145g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169998/measures,,,,,,,,,
"Oatmeal (Regular, quick or instant, plain, nonfortified)",1cup,234g,,USDA (Nutritive Value of Foods),,,,,,,,,
"Amaranth grain, uncooked",1cup,193g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170682/measures,,,,,,,,,
"Quinoa, uncooked",1cup,170g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168874/measures,,,,,,,,,
"Millet, raw",1cup,200g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169702/measures,,,,,,,,,
"Couscous, plain, cooked",1cup,160g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1101679/portions,,,,,,,,,
"Bread, white",1cup,40g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1100621/portions,,,,,,,,,
"Tapioca, pearl, dry",1cup,152g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169717/measures,,,,,,,,,
Coconut milk,1cup,244g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1097553/portions,,,,,,,,,
"Coconut meat, raw",1cup,80g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170169/measures,,,,,,,,,
"Seeds, pumpkin",1cup,129g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170556/measures,,,,,,,,,
Sunflower seed,1cup,140g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170562/measures,,,,,,,,,
"Hazelnut, whole",1cup,135g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170581/measures,,,,,,,,,
